jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.086308155,1.301293973,85,0.35,1221.001749,14.36472645,-3951.179734,-46.48446745
0.084542555,1.287914952,90,0.35,1223.279543,13.59199492,-3973.294125,-44.14771249
0.096285372,1.374452253,70,0.35,1374.303317,19.63290452,-4446.185016,-63.5169288
0.094597994,1.362355552,75,0.35,1372.358966,18.29811954,-4434.802974,-59.13070631
0.092889499,1.349997023,80,0.35,1379.581128,17.24476411,-4477.094007,-55.96367509
0.091162514,1.337388699,85,0.35,1380.677003,16.24325886,-4491.919768,-52.84611491
0.08941961,1.32454247,90,0.35,1375.864484,15.28738316,-4474.076546,-49.71196162
0.0996001,1.397910573,70,0.35,1532.845308,21.89779012,-4983.934379,-71.19906256
0.097920122,1.386070993,75,0.35,1538.827257,20.51769676,-5033.801436,-67.11735248
0.096230731,1.374062207,80,0.35,1534.353057,19.17941321,-5013.054687,-62.66318358
0.094534017,1.36189479,85,0.35,1540.943409,18.12874599,-5040.140058,-59.29576538
0.092831994,1.349579089,90,0.35,1542.577343,17.13974826,-5049.25772,-56.10286356
0.119948741,1.53407767,70,0.35,770.6916765,11.00988109,-1434.884668,-20.4983524
0.111510653,1.479134548,75,0.35,771.8382776,10.29117703,-1402.08564,-18.6944752
0.102895139,1.420845746,80,0.35,774.4481647,9.680602058,-1365.381775,-17.06727218
0.095286587,1.367304951,85,0.35,777.7878571,9.150445377,-1327.213534,-15.61427687
0.087541604,1.310559527,90,0.35,784.1182147,8.712424607,-1279.211877,-14.2134653
0.145924815,1.692053445,70,0.35,971.1545417,13.87363631,-1914.116121,-27.34451601
0.137937118,1.645091563,75,0.35,970.3791963,12.93838928,-1895.404217,-25.27205622
0.130821725,1.602099324,80,0.35,969.2562156,12.11570269,-1883.870879,-23.54838599
0.123295854,1.555334259,85,0.35,969.0145362,11.40017101,-1853.965576,-21.81135972
0.116641978,1.512784062,90,0.35,968.047464,10.75608293,-1838.434414,-20.42704904
0.163975278,1.79365408,70,0.35,1174.822878,16.78318397,-2361.297035,-33.73281479
0.157282711,1.756669234,75,0.35,1172.610444,15.63480592,-2336.022836,-31.14697114
0.150700741,1.719519856,80,0.35,1171.561429,14.64451786,-2333.333183,-29.16666479
0.144247579,1.682301253,85,0.35,1170.497738,13.77056163,-2310.68038,-27.18447506
0.137937118,1.645091563,90,0.35,1169.19866,12.99109623,-2310.264306,-25.6696034
0.176573537,1.861282565,70,0.35,1375.47567,19.64965244,-2759.664611,-39.42378016
0.171484951,1.83426681,75,0.35,1378.720048,18.38293397,-2799.64118,-37.32854907
0.165385919,1.801352749,80,0.35,1373.46647,17.16833087,-2751.113994,-34.38892492
0.160247508,1.773148642,85,0.35,1374.19092,16.166952,-2781.741632,-32.72637214
